nombre,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,nombre2
CGM063:CGM063,-0.1499,-0.0581,0.0037,-0.1278,0.0133,-0.1748,-0.0788,0.1152,0.0054,0.0935,Zapotecos
CGM096:CGM096,-0.1029,-0.0271,-0.0236,-0.0816,-0.0509,-0.065,-0.0885,-0.0506,0.1244,0.0963,Zapotecos
CGM009:CGM009,-0.1719,-0.1135,-0.0017,0.181,0.0906,-0.0406,-0.0847,-0.2037,0.1014,-0.0399,Zapotecos
CGM084:CGM084,-0.0827,-0.0291,-0.0069,-0.148,-0.0881,-0.01,-0.048,-0.0353,0.069,0.1123,Zapotecos
CGM051:CGM051,-0.0632,-0.0704,0.012,-0.0756,-0.1492,0.0789,-0.0229,-0.0574,0.0781,0.0661,Zapotecos
CGM047:CGM047,-0.1553,-0.086,-0.0923,-0.1896,-0.1237,-0.1035,-0.1772,0.0862,0.1173,-0.0781,Zapotecos
CGM004:CGM004,-0.0948,-0.0172,-0.0226,-0.124,-0.2269,-0.087,-0.0414,0.0308,0.0835,0.0846,Zapotecos
CGM010:CGM010,-0.3996,-0.4614,-0.1437,0.3181,0.1635,0.0121,0.2272,-0.0835,0.0016,0.0036,Zapotecos
35:AM0995,-0.0461,0.0723,0.012,-0.0577,-0.0192,0.0735,-0.0102,-0.0878,-0.0978,0.0541,Nahuatl
36:AM0996,-0.0381,0.1405,-0.0029,0.0081,0.0398,0.0978,-0.0998,-0.181,-0.0433,-0.2585,Nahuatl
40:AM1193,-0.0409,0.0564,0.0793,-0.0245,0.0367,0.036,-0.0175,-0.0453,-0.1104,-0.0708,Totonaca
52:AM1299,0.0089,0.0582,0.0153,-0.0783,0.0822,-0.0079,-0.1407,-0.0789,-0.0856,0.0762,AM1299
54:AM1343,-0.0691,0.0913,0.2177,-0.0634,0.0383,0.0305,0.0238,-0.1678,-0.0069,0.1897,AM1343
55:AM1346,-0.0685,0.0895,0.2241,-0.0878,0.045,-0.0067,0.0198,-0.1882,0.0099,0.2271,AM1346
56:AM1357,-0.0687,0.2256,0.1718,0.2353,0.211,0.1994,0.1527,0.437,-0.0255,-0.0996,Totonaca
57:AM1373,-0.0344,0.129,0.11,-0.0149,-0.0244,0.0197,-0.0361,-0.0017,-0.0212,0.0354,Totonaca
58:AM1380,-0.0158,0.2582,0.2138,0.252,-0.0015,-0.5496,0.1025,0.0865,0.492,-0.3099,Totonaca
59:AM1386,-0.0329,0.1046,0.0981,-0.0106,0.0757,0.098,-0.0572,-0.0173,0.0127,0.0115,Totonaca
60:AM1391,-0.017,0.1185,0.191,-0.0495,0.1127,0.0231,0.0452,-0.0958,0.036,0.0952,Totonaca
61:AM1397,-0.0446,0.1939,0.2025,0.1602,0.035,0.3274,0.1569,0.1581,-0.2025,-0.0521,Totonaca
69:AM1559,0.0215,0.0476,0.0096,0.036,0.0676,0.0067,-0.0165,0.0924,-0.1079,-0.0008,Nahuatl
70:AM1561,-0.0047,0.0839,0.0212,-0.0049,-0.1031,0.0496,-0.013,-0.126,-0.0387,-0.0642,Nahuatl
158:AM086,-0.0239,0.0962,0.0769,-0.0163,0.0639,0.0851,0.0318,0.0265,0.0078,0.1144,Totonaca
161:AM083,-0.0643,0.501,-0.7798,0.0765,0.1302,-0.0519,0.1274,-0.1053,-0.0241,0.0861,Nahuatl
180:AM064,-0.024,0.0965,0.0361,0.012,-0.1004,0.0046,-0.0377,-0.1718,-0.1996,-0.1506,Nahuatl
189:AM056,-0.0913,0.054,-0.0068,-0.2117,-0.033,-0.1107,-0.1244,-0.0914,-0.0214,-0.1192,Nahuatl
CGM077:CGM077,0.4106,0.2863,0.0666,-0.0145,0.0427,0.0553,-0.0808,0.0557,0.0373,-0.1235,CGM077
CGM066:CGM066,0.0486,-0.1108,-0.1275,-0.0512,-0.0407,-0.0547,0.0538,0.0262,0.0652,-0.0528,CGM066
CGM067:CGM067,0.212,-0.2517,-0.6145,0.1409,0.0292,-0.2732,-0.1311,-0.0252,-0.4236,0.1692,Zapotecos
CGM065:CGM065,0.0968,-0.1902,0.0609,-0.1168,-0.1622,0.1582,-0.0964,0.041,0.115,0.1822,Zapotecos
CGM063:CGM063,0.1194,-0.1274,-0.0182,0.1151,-0.1063,-0.2062,-0.0462,-0.2164,-0.0551,-0.1941,Zapotecos
CGM096:CGM096,0.0697,-0.1253,0.1085,0.0679,-0.0285,-0.0444,0.1049,-0.1687,0.1805,-0.1836,Zapotecos
CGM009:CGM009,0.164,0.1489,0.2065,0.0679,-0.1282,-0.0946,0.3063,-0.0553,-0.036,0.464,Zapotecos
CGM084:CGM084,0.0592,-0.1744,0.0763,-0.0526,-0.1006,-0.0864,-0.0214,-0.0637,0.1855,0.0959,Zapotecos
CGM051:CGM051,0.0785,-0.127,0.0389,-0.0641,-0.035,-0.1498,0.0322,0.0215,0.1529,-0.082,Zapotecos
CGM047:CGM047,0.1648,-0.3031,-0.0777,0.159,-0.0983,0.1168,0.1401,0.0567,0.2268,-0.0123,Zapotecos
CGM004:CGM004,0.0664,-0.2404,-0.0121,0.0841,-0.1645,-0.0894,0.1548,0.2578,0.0744,-0.1137,Zapotecos
CGM010:CGM010,0.6248,0.4023,0.0952,-0.0079,0.1169,0.0938,-0.0649,0.0641,-0.0598,-0.0745,Zapotecos
35:AM0995,-0.0614,-0.0478,0.0091,-0.0986,0.1408,-0.0235,0.0617,-0.1139,-0.2117,-0.4471,Nahuatl
36:AM0996,-0.1137,0.016,0.0214,0.0153,0.0679,0.4117,0.4073,-0.3006,-0.4585,-0.1357,Nahuatl
40:AM1193,-0.073,0.028,-0.0118,-0.039,0.1196,0.0814,0.1365,-0.08,-0.0532,0.0118,Totonaca
52:AM1299,-0.0881,-0.0839,0.0752,-0.0826,0.0643,0.0225,0.1676,-0.195,0.0702,0.254,AM1299
54:AM1343,-0.1263,0.0644,0.2516,-0.1801,-0.012,-0.3063,-0.2223,-0.0783,-0.2664,0.0241,AM1343
55:AM1346,-0.1263,0.0327,0.3004,-0.1803,-0.029,-0.3234,-0.2035,-0.1146,-0.1938,0.1007,AM1346
56:AM1357,-0.181,0.4091,-0.426,0.0148,-0.2483,0.0802,-0.1564,-0.4042,0.1872,0.1804,Totonaca
57:AM1373,-0.1323,-0.0092,-0.0057,-0.0326,-0.1356,-0.0415,-0.0873,0.2199,-0.0477,-0.2838,Totonaca
